CREATED_DATE,USER_ID,GAMEMONEY_FLOW_TYPE,GAMEMONEY_USAGE_TYPE,GAMEMONEY_CNT
2024-08-24,9A7272B1E1AB58D6,dec,200,67332258
2024-08-24,9A7272B1E1AB58D6,dec,6,5000
2024-08-24,9A7272B1E1AB58D6,inc,38,2419106
2024-08-24,353DDC13C2C214F5,dec,200,596772
2024-08-24,353DDC13C2C214F5,inc,38,2157342
2024-08-24,DFA16D8FEBFC98D5,inc,38,1819405
2024-08-24,DFA16D8FEBFC98D5,dec,200,1111217
2024-08-24,DFA16D8FEBFC98D5,dec,2000,100000000
2024-08-24,F3E06F6A0B98DD3F,inc,1000,800000000
2024-08-24,F3E06F6A0B98DD3F,dec,35,1264700000
2024-08-24,F3E06F6A0B98DD3F,inc,38,11619672
2024-08-24,D871E4D57A73723E,inc,38,1888353
2024-08-24,767BA51390BAB5CB,inc,41,168868000
2024-08-24,767BA51390BAB5CB,inc,38,19052306
2024-08-24,767BA51390BAB5CB,inc,1,45028
2024-08-24,767BA51390BAB5CB,dec,17,392000
2024-08-24,767BA51390BAB5CB,inc,1000,4000000000
2024-08-24,767BA51390BAB5CB,dec,1,90000
2024-08-24,5782C633FC000F2C,dec,21,2000000
2024-08-24,5782C633FC000F2C,inc,38,163658544
2024-08-24,5782C633FC000F2C,dec,1,4000000
2024-08-24,5782C633FC000F2C,inc,2,472290
2024-08-24,3016DD99D05C4703,inc,38,11070427
2024-08-24,3016DD99D05C4703,dec,28,15720000
2024-08-24,3016DD99D05C4703,dec,200,839978
2024-08-24,7078C49464F762E6,inc,38,1630016
2024-08-24,BB700F6816265BDD,inc,38,3419921
2024-08-24,07296E636A345DC9,dec,200,100105
2024-08-24,07296E636A345DC9,inc,38,464725
2024-08-24,A16F9DA4CCAC62D3,inc,38,4267369
2024-08-24,C7FB35FDA6B2B4D7,inc,1,1013865
2024-08-24,C7FB35FDA6B2B4D7,dec,1,2
2024-08-24,C7FB35FDA6B2B4D7,dec,21,4000000
2024-08-24,C7FB35FDA6B2B4D7,inc,38,5104121
2024-08-24,0E914733531683B1,dec,1,6000000
2024-08-24,0E914733531683B1,inc,38,1770434
2024-08-24,0E914733531683B1,inc,1,612077
2024-08-24,0E914733531683B1,dec,200,65153198
2024-08-24,0E914733531683B1,dec,21,2000000
2024-08-24,7499006BB865B212,dec,2000,400000000
2024-08-24,7499006BB865B212,dec,21,4000000
2024-08-24,7499006BB865B212,inc,1000,900000000
2024-08-24,7499006BB865B212,dec,200,13105542
2024-08-24,7499006BB865B212,inc,41,383201000
2024-08-24,7499006BB865B212,inc,38,6164903
2024-08-24,EE82DE90CC2D2D07,inc,1,438672
2024-08-24,EE82DE90CC2D2D07,dec,1,91140
2024-08-24,EE82DE90CC2D2D07,inc,38,13504518
2024-08-24,5A1F035B6D552C37,inc,38,11655327
2024-08-24,3E967F950FDEB82D,inc,38,65529432
2024-08-24,3E967F950FDEB82D,dec,1,10000000
2024-08-24,3E967F950FDEB82D,inc,2,100198
2024-08-24,3E967F950FDEB82D,dec,200,17254879
2024-08-24,3E967F950FDEB82D,inc,1,492054
2024-08-24,E705E49A70E1E083,inc,38,2907163
2024-08-24,E705E49A70E1E083,dec,200,7443695
2024-08-24,E705E49A70E1E083,inc,1,1329768
2024-08-24,E705E49A70E1E083,dec,1,200000
2024-08-24,5E31FEFE228407AE,dec,200,3714237
2024-08-24,5E31FEFE228407AE,inc,1,1784250
2024-08-24,5E31FEFE228407AE,inc,41,54743000
2024-08-24,5E31FEFE228407AE,dec,17,11264000
2024-08-24,5E31FEFE228407AE,inc,38,1588801
2024-08-24,4B701B97FB7F7720,inc,38,144218
2024-08-24,4B701B97FB7F7720,inc,2,100000
2024-08-24,4B701B97FB7F7720,dec,2,1000
2024-08-24,4B701B97FB7F7720,dec,21,208000
2024-08-24,4B701B97FB7F7720,inc,21,1000000
2024-08-24,4B85555934394525,inc,2,115283
2024-08-24,4B85555934394525,inc,1000,4300000000
2024-08-24,4B85555934394525,inc,1,884724
2024-08-24,4B85555934394525,inc,38,9677820
2024-08-24,4B85555934394525,dec,200,6666880
2024-08-24,859CEBAB73526F3A,inc,41,1260016000
2024-08-24,859CEBAB73526F3A,inc,1,4700
2024-08-24,859CEBAB73526F3A,dec,2000,3000000000
2024-08-24,859CEBAB73526F3A,dec,21,12000000
2024-08-24,859CEBAB73526F3A,inc,38,726930089
2024-08-24,859CEBAB73526F3A,dec,1,10000000
2024-08-24,859CEBAB73526F3A,dec,200,20545214
2024-08-24,859CEBAB73526F3A,dec,28,95960000
2024-08-24,1530295D5D40EDE2,inc,38,927615
2024-08-24,FE641F0E8B1DB8CF,dec,21,2000000
2024-08-24,FE641F0E8B1DB8CF,inc,38,17695061
2024-08-24,FE641F0E8B1DB8CF,inc,1,857739
2024-08-24,FE641F0E8B1DB8CF,dec,1,10000000
2024-08-24,C27BFA82C6A57D90,dec,17,6664000
2024-08-24,C27BFA82C6A57D90,dec,2000,100000000
2024-08-24,C27BFA82C6A57D90,dec,200,2715711
2024-08-24,C27BFA82C6A57D90,inc,38,1156391
2024-08-24,1211E74989DBBE38,inc,38,1124313
2024-08-24,03AAE3F38D59362B,dec,2000,1500000000
2024-08-24,03AAE3F38D59362B,inc,38,4979708
2024-08-24,03AAE3F38D59362B,dec,1,8000029
2024-08-24,CB619C03B73107E6,inc,2,352544
2024-08-24,CB619C03B73107E6,inc,38,9751578
2024-08-24,CB619C03B73107E6,dec,21,2000000
2024-08-24,292A77DC6C716D16,dec,1,10000000
2024-08-24,292A77DC6C716D16,dec,21,2000000
2024-08-24,292A77DC6C716D16,inc,2,203898
2024-08-24,292A77DC6C716D16,inc,38,73131685
2024-08-24,AF7FD67BEC4DC356,inc,38,3207479
2024-08-24,AF7FD67BEC4DC356,dec,1,4000000
2024-08-24,AF7FD67BEC4DC356,inc,1,73800
2024-08-24,AF7FD67BEC4DC356,dec,200,1063930
2024-08-24,93B0C57B1F1BC600,inc,38,3317316
2024-08-24,AE04B71EDFD35FFA,dec,2000,5000000000
2024-08-24,83D9BD268EA03029,dec,200,6260947
2024-08-24,83D9BD268EA03029,inc,38,3579049
2024-08-24,83D9BD268EA03029,dec,1,8000000
2024-08-24,B6FF1C123491ECEF,dec,200,115661
2024-08-24,B6FF1C123491ECEF,dec,1,33000
2024-08-24,6EC9E8ACCEFAB52B,inc,38,10270108
2024-08-24,D971FB6F93C382BF,dec,200,9648
2024-08-24,D971FB6F93C382BF,inc,38,811672
2024-08-24,D971FB6F93C382BF,inc,1,973032
2024-08-24,872D5587EB9B7100,inc,41,327873000
2024-08-24,872D5587EB9B7100,inc,1,520000
2024-08-24,872D5587EB9B7100,dec,2000,500000000
2024-08-24,872D5587EB9B7100,inc,38,2490874
2024-08-24,D01AF9711CCC89D4,dec,35,104800000
2024-08-24,D01AF9711CCC89D4,dec,1,4000000
2024-08-24,D01AF9711CCC89D4,inc,41,54743000
2024-08-24,D01AF9711CCC89D4,dec,200,126772
2024-08-24,D01AF9711CCC89D4,inc,1,2195541
2024-08-24,D01AF9711CCC89D4,inc,38,4974784
2024-08-24,D4A558404063B9D2,dec,21,4000000
2024-08-24,D4A558404063B9D2,inc,38,148691579
2024-08-24,D4A558404063B9D2,inc,1,845134
2024-08-24,D4A558404063B9D2,inc,41,349731900
2024-08-24,D4A558404063B9D2,dec,200,7404985
2024-08-24,27275228FC0C7204,dec,200,240062
2024-08-24,27275228FC0C7204,inc,38,477554009
2024-08-24,4D2F332BE0E0D2E5,dec,200,630000263
2024-08-24,4D2F332BE0E0D2E5,inc,38,19323635
2024-08-24,4D2F332BE0E0D2E5,dec,21,2000000
2024-08-24,4D2F332BE0E0D2E5,dec,1,12000000
2024-08-24,3ED873DABFF23E17,inc,38,2519021
2024-08-24,3ED873DABFF23E17,dec,200,878457
2024-08-24,BC5EA827BAE47206,inc,38,6727382
2024-08-24,C8A16629A1702C39,inc,38,214807
2024-08-24,C8A16629A1702C39,dec,1,8000000
2024-08-24,FF911B32D3F2584D,dec,200,457443104
2024-08-24,FF911B32D3F2584D,inc,38,76683282
2024-08-24,581A574BF0F26F17,inc,38,633588
2024-08-24,54251DA25DE7D193,inc,38,3824906
2024-08-24,54251DA25DE7D193,dec,21,2000000
2024-08-24,54251DA25DE7D193,dec,1,1200000
2024-08-24,54251DA25DE7D193,dec,2,1000000
2024-08-24,54251DA25DE7D193,dec,200,49739622
2024-08-24,5666FFD87D2F7D9C,inc,1,1947222
2024-08-24,5666FFD87D2F7D9C,inc,38,61223737
2024-08-24,5666FFD87D2F7D9C,dec,200,7792029
2024-08-24,1EF61A0DDFF2B2E1,dec,1,4000000
2024-08-24,9F4F22F99AF73065,dec,200,55808325
2024-08-24,9F4F22F99AF73065,dec,1,8000000
2024-08-24,9F4F22F99AF73065,inc,1,207002
2024-08-24,9F4F22F99AF73065,inc,38,6220662
2024-08-24,9F4F22F99AF73065,inc,2,681697
2024-08-24,9F4F22F99AF73065,dec,17,23040000
2024-08-24,9F4F22F99AF73065,inc,41,492687000
2024-08-24,3A5255BF9CA9795B,inc,38,5870152
2024-08-24,3A5255BF9CA9795B,dec,200,5922301
2024-08-24,A186072C8576B97F,inc,38,4852849
2024-08-24,A186072C8576B97F,dec,200,1101013
2024-08-24,9024125D7004F5B3,dec,21,4000000
2024-08-24,9024125D7004F5B3,inc,38,422618535
2024-08-24,9024125D7004F5B3,dec,200,1000210
2024-08-24,1494084AB91BEA79,inc,38,8004418
2024-08-24,1494084AB91BEA79,dec,2000,300000000
2024-08-24,1494084AB91BEA79,dec,17,24000000
2024-08-24,1494084AB91BEA79,dec,200,3238133
2024-08-24,1494084AB91BEA79,dec,1,2000000
2024-08-24,9094EFBF56742BDE,dec,200,105731019
2024-08-24,9094EFBF56742BDE,inc,1,5199650
2024-08-24,9094EFBF56742BDE,dec,2000,1000000000
2024-08-24,9094EFBF56742BDE,dec,21,4010000
2024-08-24,9094EFBF56742BDE,inc,38,398383998
2024-08-24,9094EFBF56742BDE,inc,41,2408692000
2024-08-24,9FD159038DB3A8A2,inc,38,844020
2024-08-24,28B07E16AF975A09,inc,38,3379942
2024-08-24,2ECC58366B9AA3E8,inc,41,54743000
2024-08-24,2ECC58366B9AA3E8,dec,200,12500000
2024-08-24,2ECC58366B9AA3E8,dec,1,8000000
2024-08-24,2ECC58366B9AA3E8,inc,38,3857104
2024-08-24,AC0218BE65BA4F77,inc,1,273824
2024-08-24,AC0218BE65BA4F77,inc,38,3141105
2024-08-24,AC0218BE65BA4F77,dec,2000,100000000
2024-08-24,AC0218BE65BA4F77,dec,2,5000
2024-08-24,AC0218BE65BA4F77,dec,200,3252434
2024-08-24,FFA24575C4C80BA3,dec,200,22432
2024-08-24,FFA24575C4C80BA3,inc,38,10058884
2024-08-24,B0A5EF415FDFDA40,inc,38,8714794
2024-08-24,B0A5EF415FDFDA40,dec,28,46590000
2024-08-24,B0A5EF415FDFDA40,dec,200,171062
2024-08-24,B0A5EF415FDFDA40,dec,1,8000000
2024-08-24,B0A5EF415FDFDA40,inc,41,437944000
2024-08-24,B0A5EF415FDFDA40,dec,21,14000000
2024-08-24,B0A5EF415FDFDA40,dec,17,24188800
2024-08-24,140C7E6594C1B5EC,inc,38,2139651
2024-08-24,140C7E6594C1B5EC,dec,200,12912438
2024-08-24,0C290F91412E6F22,dec,200,285105
2024-08-24,0C290F91412E6F22,inc,38,539627371
2024-08-24,8F74F05503D4940A,dec,1,6000000
2024-08-24,8F74F05503D4940A,inc,38,522908150
2024-08-24,8F74F05503D4940A,inc,1,16081600
2024-08-24,8F74F05503D4940A,inc,2,364124
2024-08-24,8F74F05503D4940A,inc,41,1423318000
2024-08-24,8F74F05503D4940A,dec,21,6000000
2024-08-24,F446467012E47B92,dec,200,215701311
2024-08-24,F446467012E47B92,inc,1,9146050
2024-08-24,F446467012E47B92,dec,21,6000000
2024-08-24,F446467012E47B92,inc,38,606716352
2024-08-24,FD8E68FEBFD86CF8,dec,21,10000
2024-08-24,FD8E68FEBFD86CF8,inc,38,2097607
2024-08-24,17E925D3B60B6344,inc,38,10380895
2024-08-24,F91DB6832B0159F1,inc,38,2140981
2024-08-24,D45527E0A4AC97F2,inc,41,109486000
2024-08-24,D45527E0A4AC97F2,inc,1,1645250
2024-08-24,D45527E0A4AC97F2,dec,1,18855000
2024-08-24,D45527E0A4AC97F2,dec,2000,400000000
2024-08-24,D45527E0A4AC97F2,dec,200,2410428
2024-08-24,D45527E0A4AC97F2,inc,2,6000000
2024-08-24,D45527E0A4AC97F2,inc,38,2205311
2024-08-24,8251575656E58914,inc,38,1823893
2024-08-24,94F33D59D1424BD3,inc,41,218972000
2024-08-24,94F33D59D1424BD3,inc,38,2492370
2024-08-24,94F33D59D1424BD3,dec,2000,500000000
2024-08-24,94F33D59D1424BD3,dec,1,200000
2024-08-24,94F33D59D1424BD3,inc,1,206088
2024-08-24,9C772A89F2A1A710,dec,35,2141000000
2024-08-24,9C772A89F2A1A710,inc,41,437944000
2024-08-24,9C772A89F2A1A710,dec,200,297649
2024-08-24,9C772A89F2A1A710,inc,38,81040118
2024-08-24,9C772A89F2A1A710,dec,1,2000000
2024-08-24,EF3A5A3E7F2F4695,dec,2000,2000000000
2024-08-24,EF3A5A3E7F2F4695,inc,38,7208044
2024-08-24,EF3A5A3E7F2F4695,dec,200,766183741
2024-08-24,9506ACC1133C7277,dec,200,802996
2024-08-24,9506ACC1133C7277,inc,1,1236616
2024-08-24,9506ACC1133C7277,dec,1,12472500
2024-08-24,9506ACC1133C7277,inc,38,187234
2024-08-24,5038F4BFAF082691,inc,38,394488876
2024-08-24,5038F4BFAF082691,dec,200,52589604
2024-08-24,0A7A5928D784DA6E,dec,17,7200000
2024-08-24,0A7A5928D784DA6E,dec,200,833439
2024-08-24,0A7A5928D784DA6E,inc,41,821145000
2024-08-24,0A7A5928D784DA6E,inc,38,60886177
2024-08-24,0A7A5928D784DA6E,dec,21,4000000
2024-08-24,0A7A5928D784DA6E,dec,2000,300000000
2024-08-24,F66DC3B2CEA2C0FE,dec,21,2000000
2024-08-24,F66DC3B2CEA2C0FE,inc,38,2718648
2024-08-24,F6AFE08A4632BB17,dec,17,25000
2024-08-24,F6AFE08A4632BB17,inc,38,7596282
2024-08-24,F6AFE08A4632BB17,dec,200,1350106
2024-08-24,970C3AC095F4F29C,dec,21,8000
2024-08-24,970C3AC095F4F29C,inc,38,1233314
2024-08-24,970C3AC095F4F29C,dec,17,2400
2024-08-24,970C3AC095F4F29C,dec,1,200000
2024-08-24,970C3AC095F4F29C,dec,28,3060000
2024-08-24,26B37E21869EC7EC,inc,1,120008
2024-08-24,26B37E21869EC7EC,inc,38,2441349
2024-08-24,ECC9EE4163C1D3EC,dec,200,8462437
2024-08-24,ECC9EE4163C1D3EC,dec,2000,100000000
2024-08-24,ECC9EE4163C1D3EC,inc,38,7899624
2024-08-24,ECC9EE4163C1D3EC,dec,21,2010000
2024-08-24,ECC9EE4163C1D3EC,inc,1,456045
2024-08-24,ECC9EE4163C1D3EC,dec,35,145900000
2024-08-24,ECC9EE4163C1D3EC,dec,1,6051000
2024-08-24,ECC9EE4163C1D3EC,inc,41,328458000
2024-08-24,D416A26A60C95D21,inc,38,9352184
2024-08-24,D416A26A60C95D21,dec,17,13750000
2024-08-24,D416A26A60C95D21,dec,200,31500118
2024-08-24,D416A26A60C95D21,inc,1,2500000
2024-08-24,257AB229C304C5F3,inc,38,2769527
2024-08-24,0008D2AB31F8D862,dec,17,1350000
2024-08-24,90F88D691B3D5B98,inc,1,218372
2024-08-24,90F88D691B3D5B98,inc,38,5452634
2024-08-24,90F88D691B3D5B98,dec,28,248570000
2024-08-24,EA09D6B655AA04EA,inc,38,2003029
2024-08-24,ACA441A48E9EA17A,inc,41,109486000
2024-08-24,ACA441A48E9EA17A,inc,38,3041744
2024-08-24,94936EDB354F7F26,inc,38,1537341
2024-08-24,94936EDB354F7F26,dec,200,94666410
2024-08-24,000378377E017CBF,dec,21,2000000
2024-08-24,000378377E017CBF,inc,38,4300088
2024-08-24,000378377E017CBF,dec,1,14000000
2024-08-24,000378377E017CBF,dec,200,11453865
2024-08-24,000378377E017CBF,inc,1,44928
2024-08-24,D0BD6C95A6AB6C68,dec,28,2890000
2024-08-24,D0BD6C95A6AB6C68,inc,1,574810
2024-08-24,D0BD6C95A6AB6C68,dec,200,3420
2024-08-24,D0BD6C95A6AB6C68,dec,17,800000
2024-08-24,D0BD6C95A6AB6C68,inc,38,945725
