CREATED_DATE,USER_ID,TOTAL_LEVEL,ATTACK_POWER,CURRENCY1_USE,CURRENCY2_USE,AGE,GENDER
2024-08-24,000378377E017CBF,9183,2389922,0,0,29,0
2024-08-24,0008D2AB31F8D862,8775,433017,0,0,27,0
2024-08-24,000F01EDCB62FAE5,9464,1074859,0,0,44,1
2024-08-24,003632938250B84E,904,27191,0,0,30,0
2024-08-24,003D49A8E805C3F9,2528,63519,0,0,27,0
2024-08-24,00A4085E531859FE,9178,1048408,31.42857143,0,30,1
2024-08-24,00A60B2DD6EA372F,7502,139364,0,0,20,0
2024-08-24,00A93AB776841817,9030,12507,0,0,31,0
2024-08-24,00BEBA3B93974B93,9151,551374,0,0,54,1
2024-08-24,00CDEDCB97E72583,7109,195645,0,0,27,0
2024-08-24,00D6A30FD687A3A7,9132,2585010,0,0,59,0
2024-08-24,01018175327FCB72,8090,412587,0,0,23,0
2024-08-24,013B22384BB59E80,9347,2060389,0,0,29,0
2024-08-24,015404BD8E5BE940,9017,3290434,15.71428571,26.57142857,33,1
2024-08-24,0186778C4AAA9D62,6029,1175,0,0,29,0
2024-08-24,019F480AF6D09E01,5119,122233,0,0,22,1
2024-08-24,01BED2F2643A2667,5794,22681,0,0,35,0
2024-08-24,020FA3F2BB9E79C4,8211,626495,0,0,24,0
2024-08-24,0220444624EC0501,1090,25298,0,0,26,0
2024-08-24,02349DF0087E9D26,2329,37121,0,0,55,1
2024-08-24,023E02395F69AFAD,8173,0,0,0,26,0
2024-08-24,0248B3E875B2769E,8823,1321298,0,0,27,0
2024-08-24,0262EC407253A509,8636,271587,0,0,42,0
2024-08-24,026FACF9CEB2628B,4267,151265,0,0,23,0
2024-08-24,02B1BB600E4BA69B,9008,5543479,0,0,33,0
2024-08-24,02D4058342BFAA72,8653,262263,0,0,26,1
2024-08-24,02F191744F36E5BD,9213,1076901,0,0,28,0
2024-08-24,03478E30BAE39613,8870,630455,0,0,21,0
2024-08-24,035EF0564F00DCAD,9030,487156,0,0,28,0
2024-08-24,039E519E901C95D2,8765,1007712,0,0,23,0
2024-08-24,03AAE3F38D59362B,9199,1906410,0,0,26,0
2024-08-24,03C196DD3EC9A68F,8767,1005550,0,0,30,0
2024-08-24,03C464D2A7FAF45C,7122,118621,0,0,28,0
2024-08-24,03D121373275A9C1,203,1305,0,0,28,1
2024-08-24,03E3C5C9381CB8FF,8568,542872,0,0,33,0
2024-08-24,03ED732CC7CD23AB,8900,870197,0,0,25,0
2024-08-24,040526140E154BD2,8863,1024110,0,0,23,0
2024-08-24,04500D333491FF68,9231,3062052,0,0,24,0
2024-08-24,048DCFDDE5B2FB0A,8888,491447,0,0,31,0
2024-08-24,04C5D9011578397D,1431,93843,0,0,32,0
2024-08-24,052061B130A285D7,8853,536411,0,0,34,0
2024-08-24,0538C5F6740F4688,9052,2554692,0,0,62,0
2024-08-24,05468BDB56D72C5D,9193,826772,0,0,23,0
2024-08-24,054ACF41165BBD95,9057,614980,44.00714286,0,31,0
2024-08-24,0559D7C1AEC60ACA,6120,415916,0,0,22,1
2024-08-24,05CA38B55B5DE85D,8663,584502,0,0,23,0
2024-08-24,05D6E22DB852FBEA,8872,786312,0,0,26,0
2024-08-24,05EFFB498F90D399,9120,2036896,0,0,31,0
2024-08-24,0643A54DF2132B52,9160,282265,0,0,47,0
2024-08-24,06488F31DB134AF1,5271,139003,0,0,21,0
2024-08-24,06606E6E5751EFF5,8477,160347,0,0,24,1
2024-08-24,067695A50DA3820D,8068,479654,0,0,24,0
2024-08-24,06C04894FC1E60EA,8803,199368,0,0,26,0
2024-08-24,06C3E8A64D3E4555,1893,148,0,0,21,0
2024-08-24,06DF64CCB7535845,9408,3123397,0,0,23,0
2024-08-24,06E3B80FD033970D,9238,1606180,0,0,20,0
2024-08-24,06E9477E542BE2E6,9144,836957,0,0,26,0
2024-08-24,06FA962B35940461,8526,272545,0,0,25,0
2024-08-24,06FE7455DDCC68C7,8630,287713,0,0,34,0
2024-08-24,0710BC0841DE29DB,9472,3726359,0,0,29,0
2024-08-24,071ECCD1C419A83A,9959,2852164,0,0,27,0
2024-08-24,07246011831DA9AA,9005,181553,0,0,25,0
2024-08-24,07296E636A345DC9,3063,28187,0,0,35,0
2024-08-24,075FC184EA7504E2,8833,964826,0,20.57142857,28,0
2024-08-24,076FE8119605F036,9261,2899372,0,0,23,0
2024-08-24,0778F991CFBE3F3B,9092,423928,0,0,29,0
2024-08-24,0788DD54980E3D2C,8320,322377,0,0,25,1
2024-08-24,079104AE5BEF8D5A,8710,285762,0,0,26,0
2024-08-24,079B2A85D993C13D,8708,318894,0,0,29,0
2024-08-24,07B79DAC2705B0E2,8966,1315649,0,0,29,0
2024-08-24,07C3BEBF77DD7720,9049,56259,0,0,46,0
2024-08-24,07C93D1BB955D8CD,9267,2278736,0,0,30,0
2024-08-24,07D2776048899B9D,8780,2613454,0,0,26,0
2024-08-24,080369DC80695730,9748,48681,0,0,57,1
2024-08-24,0805A5D54934ED01,7099,548481,0,0,27,1
2024-08-24,080C31D26239189B,6466,226256,0,0,21,0
2024-08-24,081303808E62C8A8,8500,532574,0,0,27,0
2024-08-24,083540516D073F76,1838,27844,0,0,34,1
2024-08-24,0844B8AB8A12542C,1910,41916,0,0,55,0
2024-08-24,084BEFC4607B8B10,8819,1015897,0,0,53,0
2024-08-24,08B22CC8052CE556,738,58,0,0,29,0
2024-08-24,08D91EF2D33D308E,9406,1458933,0,0,24,0
2024-08-24,08E917AAADCC3E43,9892,936216,0,0,31,0
2024-08-24,08EC9B614C59A33C,9049,1566036,0,0,54,0
2024-08-24,08EDF0A839575626,8803,2711906,0,0,31,0
2024-08-24,090197BB9276925D,9237,1377545,0,0,26,0
2024-08-24,091148ABBA5A2FF9,8706,330809,0,0,32,0
2024-08-24,093A2EFD9F533F1E,9158,1343292,0,0,58,1
2024-08-24,098543F8FEB0C1FB,9045,39066,0,0,22,0
2024-08-24,0989CA4A94AADC0C,6768,71833,0,0,29,0
2024-08-24,09BA45F8BD477697,4993,66277,0,0,23,1
2024-08-24,09BAA79530A88D6F,9767,3566393,0,0,58,0
2024-08-24,09BB021193CDCF6E,8786,710643,0,0,23,0
2024-08-24,0A0810E42AB5F50F,5052,501644,0,0,43,0
2024-08-24,0A100B9CB11FA6EC,8888,845301,0,0,29,0
2024-08-24,0A1F41DC6A996092,8514,545584,0,0,23,1
2024-08-24,0A2D6A2B0A489D36,9483,581647,0,0,28,0
2024-08-24,0A31A2284C7C1558,8736,1119214,0,0,26,0
2024-08-24,0A408E390C050E7A,5440,202447,0,0,25,0
2024-08-24,0A521E8C293DB58E,8560,1172003,0,0,27,0
2024-08-24,0A7A5928D784DA6E,8362,257568,17.14285714,0,20,0
2024-08-24,0ABCE81C6C19A640,9337,2816683,0,0,27,0
2024-08-24,0AC7FA426EE5C921,8776,588621,0,0,47,1
2024-08-24,0AF85309EA03C969,6601,98452,0,0,23,0
2024-08-24,0B1B9EA09F76223A,8129,309774,0,0,22,0
2024-08-24,0B28CAE9A61D5CD3,8718,497736,0,0,29,0
2024-08-24,0B408E5F5E456D32,9422,763499,0,0,42,0
2024-08-24,0B4498F793A87282,8881,538831,0,0,35,0
2024-08-24,0B6321CE09F8014C,8740,200941,0,0,24,0
2024-08-24,0B66966ADA453242,234,6801,0,0,34,0
2024-08-24,0B7613825EE5D02A,7610,191252,0,25.57142857,32,0
2024-08-24,0BA6F32516EAA9C8,881,4491,0,0,24,0
2024-08-24,0BBD979AD70C11F3,9126,1367930,0,0,27,0
2024-08-24,0BC03BC4D5B8C0E1,5270,700959,0,0,28,0
2024-08-24,0BC10FA4F53447BA,8911,670491,0,0,18,0
2024-08-24,0BC79ADAF7E8894C,8733,663700,0,0,18,0
2024-08-24,0C158FE1F5E3568F,2984,62609,0,0,21,1
2024-08-24,0C290F91412E6F22,9484,1000457,0,0,26,0
2024-08-24,0C597BCE143363AD,9024,1446532,0,0,30,0
2024-08-24,0C5E541E1C4D275B,8798,41100,0,0,30,0
2024-08-24,0C6E47A539F5437E,8803,728057,0,0,28,0
2024-08-24,0C6E4D51E29A1035,8337,0,0,0,30,0
2024-08-24,0C99CCB83C80B3BA,9150,831582,0,0,32,1
2024-08-24,0CD6B83BD52F212F,8940,485832,0,0,30,0
2024-08-24,0CE6D6381DD59845,8541,238526,0,0,24,0
2024-08-24,0CEFDC169BCFD7E3,9038,587838,71.42857143,0,29,0
2024-08-24,0D0871BC55AF90A6,9394,1171103,0,0,26,1
2024-08-24,0D17FE7CC083B57F,9140,4047589,0,0,25,0
2024-08-24,0D217EA8A796B61F,9042,727679,0,0,20,0
2024-08-24,0D355508AF6C9C63,8715,347756,0,0,57,1
2024-08-24,0D3902C2E4EF58D5,8899,750774,0,0,53,0
2024-08-24,0D3F917358434624,9083,658007,0,0,27,0
2024-08-24,0DAED5F25FBB48F3,8656,273802,0,0,25,0
2024-08-24,0DF8F3D835126B87,6604,254730,0,0,26,0
2024-08-24,0E127E7E655C428F,8003,78221,0,0,21,0
2024-08-24,0E3E6C9EB7BA3538,8905,2783750,0,0,28,0
2024-08-24,0E590A0A9C87DC50,9042,284330,0,0,20,0
2024-08-24,0E64E505EBA443BA,8525,9285,0,0,61,1
2024-08-24,0E67D97B757C1304,4288,34923,0,0,20,0
2024-08-24,0E914733531683B1,8544,556292,0,0,29,0
2024-08-24,0E9657D5A0F2BE85,8866,5088978,0,0,30,0
2024-08-24,0EBD7A164CBB2604,1149,74542,0,0,20,1
2024-08-24,0EC95AC06F2907F6,8541,559069,7.857142857,0,26,0
2024-08-24,0EEC53FBC028EF60,3051,151703,0,0,31,0
2024-08-24,0F19FED92445FD6D,529,1649,0,0,18,1
2024-08-24,0F20BDF13C96297D,8871,521893,0,0,25,0
2024-08-24,0F6CA92F357CAA6B,8791,286296,0,0,17,0
2024-08-24,0F7618C4D7CCA13C,9413,2404976,0,0,24,0
2024-08-24,0FB14D130217CDDD,9190,1474815,0,0,28,0
2024-08-24,0FB6F0E5ED2A1365,8978,827255,2.75,0,62,1
2024-08-24,0FC2B1B9FB3755D9,7764,722959,0,0,26,0
2024-08-24,0FDFA6DD7BB893ED,9239,3164302,31.42857143,0,25,0
2024-08-24,0FE8E8A3A5B6FE4B,5538,111760,0,0,30,0
2024-08-24,101C653374B101AA,8188,798833,0,0,24,0
2024-08-24,1042CA70351DC92E,9346,1744866,0,0,29,0
2024-08-24,10458EB174F4AA06,8685,645281,0,0,30,0
2024-08-24,10657A5B1A14FCA4,2636,33854,0,0,68,0
2024-08-24,10C4736FAB19373F,8727,207802,0,0,43,1
2024-08-24,10D787A118F6D1B4,2260,35686,3.928571429,0,25,0
2024-08-24,,6307,262553,0,0,27,0
2024-08-24,10EE68BFBDD16294,2169,84,0,0,32,0
2024-08-24,10FAE98B395FF877,2326,145646,0,0,31,0
2024-08-24,110096A7059AEE10,9089,1094709,0,0,21,0
2024-08-24,1150B167306D11AE,9065,1016721,0,0,23,0
2024-08-24,117EC6F95051C2F6,8804,520473,0,0,21,0
2024-08-24,11C99859459D9FF0,6058,450564,0,0,26,0
2024-08-24,11F4BB0DC202EB44,9646,2613839,0,0,29,0
2024-08-24,11F560B7D9C1D4AF,9019,2309147,0,0,25,0
2024-08-24,120284E45EF40349,9043,632597,0,0,25,0
2024-08-24,1211E74989DBBE38,2625,13431,0,0,26,0
2024-08-24,1224D5C5BAF73DC5,9391,2720990,0,0,27,0
2024-08-24,125E6ADB9662BACE,9030,650151,0,0,61,0
2024-08-24,1260E42CF8125AAB,884,63430,0,0,27,0
2024-08-24,126BF00F4CFCA744,8928,276394,0,0,28,0
2024-08-24,128ACE32D69E8FC3,6138,85165,7.142857143,0,30,0
2024-08-24,12AA101F84750E10,8628,432721,0,0,29,0
2024-08-24,12AC5A77268EB65A,8459,41709,0,0,28,0
2024-08-24,12B871944A4C3F0A,9404,1291240,0,0,30,0
2024-08-24,12BD86653A51C878,3648,82272,0,0,20,0
2024-08-24,12D8936AB11FC2ED,2193,84890,0,0,20,0
2024-08-24,12E92009219C7599,7070,179209,0,0,19,0
2024-08-24,12F37B3BF08A4714,9597,2279659,0,0,30,1
2024-08-24,130385E6DE44BA38,7258,234102,0,0,23,0
2024-08-24,1310A6BE8B5A7F69,9125,2330203,0,0,31,0
2024-08-24,132601ED5DF6DEBA,8780,253490,0,0,32,0
2024-08-24,1331F68EACC5D1F1,8760,245028,0,0,31,0
2024-08-24,13C9AB05809505AB,8333,52626,0,0,33,0
2024-08-24,13EF9D985309C5AD,8637,820886,0,0,22,0
2024-08-24,13F62B260C6E8A9D,211,3802,0,21.07142857,27,0
2024-08-24,140C160752AB1408,9070,1641334,0,0,27,0
2024-08-24,140C7E6594C1B5EC,8951,722275,1.571428571,0,28,1
2024-08-24,14286605F7DA1DE5,201,1572,0,0,27,1
2024-08-24,1449A2889BF4111E,9425,4486964,0,0,30,0
2024-08-24,144CB21D3B170C0E,8767,332262,0,0,24,0
2024-08-24,145127CD357497C4,7123,153891,0,0,24,0
2024-08-24,147B78C6EE44F2D5,1397,42885,0,0,34,1
2024-08-24,148F9F0BD1FD2DFB,8816,730878,0,0,22,0
2024-08-24,1494084AB91BEA79,9716,3391251,0,0,24,0
2024-08-24,14C595B006D97393,8295,354,0,0,23,0
2024-08-24,14D75DEA4634BAB1,4085,20544,0,0,28,1
2024-08-24,151EA285E096B166,8965,2068363,0,0,23,0
2024-08-24,1530295D5D40EDE2,9141,544935,0,0,56,0
2024-08-24,153A31A521527435,9534,3302077,0,0,25,0
2024-08-24,1546EB5D8A1CDD18,9639,2226891,571.4285714,0,28,0
2024-08-24,15561338BEA16409,9685,4267237,0,0,29,0
2024-08-24,156CC1125F6BB850,8884,247967,0,0,64,0
2024-08-24,158FCAEAEB51AE62,6396,388727,0,0,26,0
2024-08-24,15CDB62052A17658,8751,1719039,0,0,29,0
2024-08-24,15D981AE7048F37E,8884,1510094,0,0,30,1
2024-08-24,15F5B18D61D9457B,8906,304239,0,0,63,1
2024-08-24,160096E3DEC47502,8895,397812,0,0,25,0
2024-08-24,162191A307965C32,670,14788,0,0,35,1
2024-08-24,162F83DF13F1DF35,8943,1296530,0,0,33,0
2024-08-24,16505A7183424074,9218,1881774,0,0,25,0
2024-08-24,1656BB1B837F147E,8422,789750,0,0,50,0
2024-08-24,166199F1A6DEB644,559,215,0,0,21,0
2024-08-24,16624C89F65418B9,9439,2265056,0,0,26,0
2024-08-24,167613AD2FAB3887,8771,595555,0,0,26,0
2024-08-24,16B1A89AB6AAB53D,9306,3759688,0,0,28,0
2024-08-24,16CC2835119A48E1,9623,629810,0,0,22,0
